feature,importance_mean,importance_std
f_14,0.11688384279743495,0.014459325882590909
f_13,0.08148784178520896,0.016170553111464668
f_19,0.018707769569221377,0.00485079495157475
f_0,0.010592600122781341,0.004140558239923679
f_6,0.00403495478972759,0.003036113086916805
f_20,0.0040143999741453894,0.002253765174141533
f_1,0.003361139244485112,0.003999534914518084
f_7,0.0032805485669182228,0.0017535269682971766
f_16,0.0030462236692812067,0.001889187721593296
f_5,0.002608495079266113,0.0025293354956984772
f_4,0.002577573874007175,0.0020561926318441188
f_2,0.0025755710971042986,0.0024862069461463266
f_3,0.0,0.0
f_8,0.0,0.0
f_21,0.0,0.0
f_12,0.0,0.0
f_10,0.0,0.0
f_11,0.0,0.0
f_15,0.0,0.0
f_17,-0.0005261681424672969,0.003167217821909467
f_18,-0.000758402422109197,0.003301181016999857
f_9,-0.0012127341193494802,0.001955475010070273
